year,speaker,role,role_label,term,term_type,count_raw,count_norm,wordcount
2022,Roland Busch,ceo,CEO,ki,1-Gramm,0,0.0,4638
2022,Roland Busch,ceo,CEO,ai,1-Gramm,0,0.0,4638
2022,Roland Busch,ceo,CEO,daten,1-Gramm,1,0.2156,4638
2022,Roland Busch,ceo,CEO,data,1-Gramm,0,0.0,4638
2022,Roland Busch,ceo,CEO,künstliche intelligenz,2-Gramm,0,0.0,4638
2022,Roland Busch,ceo,CEO,artificial intelligence,2-Gramm,0,0.0,4638
2022,Roland Busch,ceo,CEO,machine learning,2-Gramm,0,0.0,4638
2022,Roland Busch,ceo,CEO,digitale zwillinge,2-Gramm,0,0.0,4638
2022,Roland Busch,ceo,CEO,generative ai,2-Gramm,0,0.0,4638
2022,Roland Busch,ceo,CEO,generative ki,2-Gramm,0,0.0,4638
2022,Roland Busch,ceo,CEO,deep learning,2-Gramm,0,0.0,4638
2022,Jim Hagemann Snabe,ar,AR-Vorsitz,ki,1-Gramm,0,0.0,1913
2022,Jim Hagemann Snabe,ar,AR-Vorsitz,ai,1-Gramm,0,0.0,1913
2022,Jim Hagemann Snabe,ar,AR-Vorsitz,daten,1-Gramm,0,0.0,1913
2022,Jim Hagemann Snabe,ar,AR-Vorsitz,data,1-Gramm,0,0.0,1913
2022,Jim Hagemann Snabe,ar,AR-Vorsitz,künstliche intelligenz,2-Gramm,0,0.0,1913
2022,Jim Hagemann Snabe,ar,AR-Vorsitz,artificial intelligence,2-Gramm,0,0.0,1913
2022,Jim Hagemann Snabe,ar,AR-Vorsitz,machine learning,2-Gramm,0,0.0,1913
2022,Jim Hagemann Snabe,ar,AR-Vorsitz,digitale zwillinge,2-Gramm,0,0.0,1913
2022,Jim Hagemann Snabe,ar,AR-Vorsitz,generative ai,2-Gramm,0,0.0,1913
2022,Jim Hagemann Snabe,ar,AR-Vorsitz,generative ki,2-Gramm,0,0.0,1913
2022,Jim Hagemann Snabe,ar,AR-Vorsitz,deep learning,2-Gramm,0,0.0,1913
2025,Jim Hagemann Snabe,ar,AR-Vorsitz,ki,1-Gramm,2,0.9394,2129
2025,Jim Hagemann Snabe,ar,AR-Vorsitz,ai,1-Gramm,0,0.0,2129
2025,Jim Hagemann Snabe,ar,AR-Vorsitz,daten,1-Gramm,0,0.0,2129
2025,Jim Hagemann Snabe,ar,AR-Vorsitz,data,1-Gramm,0,0.0,2129
2025,Jim Hagemann Snabe,ar,AR-Vorsitz,künstliche intelligenz,2-Gramm,2,0.9394,2129
2025,Jim Hagemann Snabe,ar,AR-Vorsitz,artificial intelligence,2-Gramm,0,0.0,2129
2025,Jim Hagemann Snabe,ar,AR-Vorsitz,machine learning,2-Gramm,0,0.0,2129
2025,Jim Hagemann Snabe,ar,AR-Vorsitz,digitale zwillinge,2-Gramm,1,0.4697,2129
2025,Jim Hagemann Snabe,ar,AR-Vorsitz,generative ai,2-Gramm,0,0.0,2129
2025,Jim Hagemann Snabe,ar,AR-Vorsitz,generative ki,2-Gramm,0,0.0,2129
2025,Jim Hagemann Snabe,ar,AR-Vorsitz,deep learning,2-Gramm,0,0.0,2129
2026,Roland Busch,ceo,CEO,ki,1-Gramm,48,11.6223,4130
2026,Roland Busch,ceo,CEO,ai,1-Gramm,0,0.0,4130
2026,Roland Busch,ceo,CEO,daten,1-Gramm,13,3.1477,4130
2026,Roland Busch,ceo,CEO,data,1-Gramm,0,0.0,4130
2026,Roland Busch,ceo,CEO,künstliche intelligenz,2-Gramm,2,0.4843,4130
2026,Roland Busch,ceo,CEO,artificial intelligence,2-Gramm,0,0.0,4130
2026,Roland Busch,ceo,CEO,machine learning,2-Gramm,0,0.0,4130
2026,Roland Busch,ceo,CEO,digitale zwillinge,2-Gramm,3,0.7264,4130
2026,Roland Busch,ceo,CEO,generative ai,2-Gramm,0,0.0,4130
2026,Roland Busch,ceo,CEO,generative ki,2-Gramm,0,0.0,4130
2026,Roland Busch,ceo,CEO,deep learning,2-Gramm,0,0.0,4130
